id,first_name,last_name,email,phone,address,notes
1,Danielle,Johnson,danielle.johnson@yahoo.com,555-859-5506,21819 Johnson Course,Regular customer
2,Jeffery,Wagner,jeffery.wagner@gmail.com,555-792-9935,654 Jason Track,CC: 676138637944 on file
3,Matthew,Davis,matthew.davis@yahoo.com,555-130-2535,103 Galloway Walk,Payment with card 2285-9407-8161-8490
4,Jesse,Garcia,jesse.garcia@hotmail.com,555-674-4257,30564 Jason Port Suite 376,Payment with card 4525534192832764833
5,Nicole,Day,nicole.day@gmail.com,555-529-4611,38849 Hurst Locks Suite 328,
6,Trevor,Campos,trevor.campos@gmail.com,555-928-1106,269 Paul Ranch,Seasonal buyer
7,Wendy,Rice,wendy.rice@hotmail.com,555-814-7924,184 Rodriguez Mews,Customer since 2020
8,Eric,Smith,eric.smith@hotmail.com,555-320-6514,281 Skinner Parkways Apt. 252,VIP member
9,Amber,Osborne,amber.osborne@hotmail.com,555-467-6635,71822 Arroyo Expressway,CC: 213195701543036 on file
10,Joseph,Brennan,joseph.brennan@yahoo.com,555-847-8527,346 Kim Path,No special notes
11,Shannon,Wright,shannon.wright@gmail.com,555-180-5803,98393 Chad Roads Apt. 310,Free shipping eligible
12,Michele,Jones,michele.jones@gmail.com,555-691-4150,738 Jennifer Ports Suite 376,Wholesale pricing applied
13,James,Davis,james.davis@yahoo.com,555-777-4733,6701 Richard Junction Apt. 333,No special notes
14,Amanda,Taylor,amanda.taylor@gmail.com,555-975-4814,3178 Brent Plains Apt. 132,Preferred customer since 2019
15,Richard,Olson,richard.olson@yahoo.com,555-384-8428,60647 Henderson Street,Free shipping eligible
16,Wendy,Peters,wendy.peters@hotmail.com,555-266-7065,34309 Julie Centers Apt. 978,Wholesale pricing applied
17,Samantha,Schmidt,samantha.schmidt@gmail.com,555-818-2169,19136 Shelly Port,Seasonal buyer
18,John,Wheeler,john.wheeler@hotmail.com,555-646-5010,9985 Harris Stravenue,Customer since 2020
19,Leon,Baker,leon.baker@yahoo.com,555-755-4598,54278 Carr Valley,Auto-pay card: 4751-0799-1183-8420
20,Destiny,Smith,destiny.smith@hotmail.com,555-334-1525,124 Pamela Summit Apt. 449,No special notes
21,Jason,Cooper,jason.cooper@hotmail.com,555-374-2084,740 Cynthia Village Suite 005,Free shipping eligible
22,Kellie,Walsh,kellie.walsh@yahoo.com,555-317-9179,53315 Dickson Summit Apt. 322,Card 4786801128059826206 used for subscription
23,Nicole,Johnson,nicole.johnson@hotmail.com,555-246-5339,3421 Brennan Walks Suite 337,Gift buyer — holiday season
24,Michael,Hoover,michael.hoover@yahoo.com,555-864-8019,42940 Candace Key,Auto-pay card: 4036541458683
25,Jessica,Edwards,jessica.edwards@hotmail.com,555-470-4593,9340 Smith Valley,Free shipping eligible
26,Amanda,Ball,amanda.ball@hotmail.com,555-621-9085,6159 Alvarado Crossing,VIP member
27,Jennifer,Evans,jennifer.evans@gmail.com,555-256-3621,957 Ramos Forest Suite 214,CC: 4564823662994680448 on file
28,Zachary,Schultz,zachary.schultz@yahoo.com,555-710-2040,43320 John Mountains,Returns frequently
29,Cheryl,Mack,cheryl.mack@yahoo.com,555-641-5119,936 Ross Drive Apt. 163,Gift buyer — holiday season
30,Gregory,Rubio,gregory.rubio@hotmail.com,555-796-2876,83172 Contreras Points Suite 798,Regular customer
31,Ronald,Meadows,ronald.meadows@yahoo.com,555-868-5371,774 Mary Harbor,
32,Katie,Boyd,katie.boyd@hotmail.com,555-214-5808,7143 Rogers Plains,Corporate account
33,Christopher,Hernandez,christopher.hernandez@yahoo.com,555-103-5315,316 Rivera Mountain,Gift buyer — holiday season
34,Robert,Clark,robert.clark@yahoo.com,555-619-2743,096 Smith Knoll Suite 668,Customer since 2020
35,Julie,Payne,julie.payne@hotmail.com,555-961-9317,3467 Paul Skyway,Call before delivery
36,Erin,Powell,erin.powell@gmail.com,555-482-3646,98069 Christopher Meadow Apt. 720,VIP member
37,Jorge,Murphy,jorge.murphy@yahoo.com,555-100-6310,6464 Thomas Summit Apt. 531,No notes
38,Kimberly,Pearson,kimberly.pearson@gmail.com,555-471-6038,09232 Caldwell Port,Loyal customer
39,Stacie,Marshall,stacie.marshall@gmail.com,555-187-8962,919 Michael Meadow Suite 185,CC: 4299124190496631932 on file
40,Alexander,Fisher,alexander.fisher@yahoo.com,555-884-3060,5726 Jessica Run,
41,Joseph,Morton,joseph.morton@yahoo.com,555-371-9645,0752 Lewis Union Suite 549,Card number 180076945314732 for auto-pay
42,Jacqueline,Hill,jacqueline.hill@gmail.com,555-316-9835,36783 Brewer Overpass,Returns frequently
43,Shane,Smith,shane.smith@yahoo.com,555-830-6107,3495 Tran Key,Requires signature on delivery
44,Ronald,Reese,ronald.reese@yahoo.com,555-548-9479,744 Hall Stravenue Apt. 518,Wholesale pricing applied
45,Stephanie,Vaughn,stephanie.vaughn@gmail.com,555-330-2049,749 Hooper Village,Standard account
46,James,Perez,james.perez@gmail.com,555-335-4608,82400 Terry Crossroad Suite 109,
47,Justin,Mendoza,justin.mendoza@hotmail.com,555-334-2104,31869 Kimberly Light Suite 749,Payment with card 340471167190224
48,Veronica,Torres,veronica.torres@hotmail.com,555-172-9423,133 Guerrero Estate,Corporate account
49,John,Arnold,john.arnold@hotmail.com,555-319-9834,1832 Serrano Cliffs,Refund issued to card 4679 7403 4471 3493
50,Brian,Sparks,brian.sparks@yahoo.com,555-348-8749,401 Suzanne Villages Apt. 490,Refund issued to card 3571 7464 8877 1909
51,Kathryn,Thompson,kathryn.thompson@hotmail.com,555-196-2588,2967 Theodore Lodge Suite 512,Requires signature on delivery
52,Mark,Steele,mark.steele@yahoo.com,555-533-7735,071 King Crescent Suite 808,Wholesale pricing applied
53,Steven,Brown,steven.brown@hotmail.com,555-789-2612,770 Joseph Curve Suite 771,No special notes
54,Anthony,Mccoy,anthony.mccoy@yahoo.com,555-919-2790,467 Sanchez Plaza Apt. 639,Card 4480861317121 used for subscription
55,William,Suarez,william.suarez@hotmail.com,555-243-7912,5886 Cantu Ways Apt. 396,Refund issued to card 2256584044997278
56,Jesus,Rowe,jesus.rowe@yahoo.com,555-995-2235,1870 Robert Shoal,Billing card: 587662702899
57,Tara,Jones,tara.jones@yahoo.com,555-200-1828,615 Finley Road Suite 809,
58,Casey,Welch,casey.welch@yahoo.com,555-956-1241,161 Scott Square,
59,Kevin,Johnson,kevin.johnson@yahoo.com,555-270-7658,5562 Amanda Port,Standard account
60,Erin,White,erin.white@gmail.com,555-985-7570,693 Durham Divide,Requires signature on delivery
61,Jesse,Little,jesse.little@yahoo.com,555-488-1035,074 Charles Key Suite 647,Customer since 2020
62,Megan,Gonzalez,megan.gonzalez@yahoo.com,555-902-8454,36959 Haney Hill Apt. 640,Seasonal buyer
63,Ashlee,Jennings,ashlee.jennings@yahoo.com,555-258-4111,95214 Burgess Extensions Apt. 285,Refund issued to card 3597 4395 3394 2101
64,Alyssa,Mcintyre,alyssa.mcintyre@yahoo.com,555-865-6138,5496 Rodriguez Fort,Payment with card 4745171236851607
65,Thomas,Harvey,thomas.harvey@yahoo.com,555-614-9701,13826 Watson Summit Suite 926,Refund issued to card 180093174612009
66,Diana,Bass,diana.bass@yahoo.com,555-971-4044,17139 Brent Isle Apt. 293,CC: 3540 5377 3515 8505 on file
67,Casey,Hubbard,casey.hubbard@gmail.com,555-513-2964,05395 Grant Center,Billing card: 4352904228427
